compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PIPE__L0,__PIPE__L2,__PIPE__L3,__PIPE__L4,__TILE__L0,__TILE__L2,__TILE__L3,__TILE__L4
03min 19sec,14362849 (57.451ms),27824 (2%),25323 (1%),888 (20%),28 (~0%),0 (~0%),1,1,1,1,1,1,1,1,off,off,off,off,1,1,1,1
05min 43sec,14362749 (57.451ms),26733 (2%),23816 (1%),866 (20%),28 (~0%),0 (~0%),10,1,1,1,1,1,1,1,off,off,off,off,1,1,1,1
07min 29sec,14340449 (57.362ms),29001 (2%),25333 (1%),888 (20%),28 (~0%),0 (~0%),1,15,1,1,1,1,1,1,off,off,off,off,1,1,1,1
05min 33sec,15547249 (62.189ms),31033 (2%),27825 (1%),1400 (32%),28 (~0%),0 (~0%),1,1,199,1,1,1,1,1,off,off,off,off,1,1,1,1
05min 50sec,     ?,34441 (2%),30351 (1%),1192 (27%),39 (~0%),0 (~0%),1,1,1,10,1,1,1,1,off,off,off,off,1,1,1,1
05min 43sec,102304607 (409.218ms),37301 (3%),37053 (1%),1912 (44%),33 (~0%),0 (~0%),1,1,1,1,199,1,1,1,off,off,off,off,1,1,1,1
27min 20sec,14381182 (61.988ms),60685 (5%),56468 (2%),632 (14%),148 (2%),30 (3%),1,1,1,1,1,15,1,1,off,off,off,off,1,1,1,1
10min 57sec,9604046 (38.416ms),588007 (49%),714713 (30%),1336 (30%),3354 (49%),0 (~0%),1,1,1,1,1,1,239,1,off,off,off,off,1,1,1,1
18min 19sec,9627846 (38.511ms),1047881 (88%),1058567 (44%),2040 (47%),4788 (70%),0 (~0%),1,1,1,1,1,1,1,239,off,off,off,off,1,1,1,1
